source,role,vibe,title,company,salary_min_usd,salary_max_usd,location,url
jobicy,Cybersecurity,0,Patient Onboarding Associate- Call Center (part time hours),Luna Physical Therapy,16,16,USA,https://jobicy.com/jobs/153967-patient-onboarding-associate-call-center-part-time-hours-3
jobicy,Unknown,0,"Account Executive, Existing Business - Financial Services",AlphaSense,99000,155000,USA,https://jobicy.com/jobs/153960-account-executive-existing-business-financial-services
jobicy,Unknown,0,Director Of RevOps (SMSO046),Defense Unicorns,204000,276000,USA,https://jobicy.com/jobs/153955-director-of-revops-smso046
jobicy,Unknown,0,"Senior Partner Consultant, Systems Integrators",Ramp,194000,266000,"Canada,  USA",https://jobicy.com/jobs/153956-senior-partner-consultant-systems-integrators
jobicy,Sysadmin / DevOps,0,VP of IT Infrastructure & Operations,Serve Robotics,220000,320000,"Canada,  USA",https://jobicy.com/jobs/153953-vp-of-it-infrastructure-operations
jobicy,Unknown,0,VP of Product & Design,Serve Robotics,240000,300000,USA,https://jobicy.com/jobs/153957-vp-of-product-design
jobicy,Unknown,0,Director of Discovery & Framing,Defense Unicorns,204000,276000,USA,https://jobicy.com/jobs/153951-director-of-discovery-framing
jobicy,Unknown,0,Enterprise Account Executive - NYC,DevRev,,,USA,https://jobicy.com/jobs/153954-enterprise-account-executive-nyc
jobicy,Unknown,0,"Money Laundering Reporting Officer, AML",Ramp,836400,1131600,Sweden,https://jobicy.com/jobs/153952-money-laundering-reporting-officer-aml
jobicy,Marketing,0,Global Partner Marketing Manager,LastPass,119200,140000,USA,https://jobicy.com/jobs/153949-global-partner-marketing-manager
jobicy,Engineering,0,Lead Machine Learning Engineer,Serve Robotics,225000,260000,"Canada,  USA",https://jobicy.com/jobs/153948-lead-machine-learning-engineer-3
jobicy,Unknown,0,Enterprise Account Executive - MATL,DevRev,,,USA,https://jobicy.com/jobs/153950-enterprise-account-executive-matl
jobicy,Unknown,0,Account Executive,Alma,136365,145000,USA,https://jobicy.com/jobs/153933-account-executive-24
jobicy,Unknown,0,"Senior Financial Analyst, GTM",Luxury Presence,110000,140000,USA,https://jobicy.com/jobs/153941-senior-financial-analyst-gtm
jobicy,Unknown,0,"Manager, Implementation",Dutchie,98000,115000,USA,https://jobicy.com/jobs/153940-manager-implementation
jobicy,Engineering,0,"Senior Machine Learning Engineer, Ads - Quora",Quora,189507,274604,"Canada,  Ireland,  USA",https://jobicy.com/jobs/153939-senior-machine-learning-engineer-ads-quora
jobicy,Sales / SDR,0,Business Development Representative,Dutchie,50000,65000,USA,https://jobicy.com/jobs/153936-business-development-representative-15
jobicy,Unknown,0,"Director, Government Relations",Fanatics,180000,215000,USA,https://jobicy.com/jobs/153934-director-government-relations
jobicy,Data,0,Staff Data Scientist - Quora,Quora,163560,240092,"Canada,  Ireland,  USA",https://jobicy.com/jobs/153935-staff-data-scientist-quora
jobicy,Unknown,0,"Manager, Enterprise Partnerships - Financial Services",Fanatics,138000,168000,USA,https://jobicy.com/jobs/153938-manager-enterprise-partnerships-financial-services
jobicy,Product / PM,0,"Principal Product Manager, Ads",TeamSnap,,,USA,https://jobicy.com/jobs/153932-principal-product-manager-ads
jobicy,Data,0,"Senior Data Analyst, GTM Analytics - US",Luxury Presence,145000,175000,USA,https://jobicy.com/jobs/153937-senior-data-analyst-gtm-analytics-us
jobicy,Engineering,0,Fullstack Engineer,Monks,,,Brazil,https://jobicy.com/jobs/151168-fullstack-engineer
jobicy,Business Analyst,0,"Data Analyst, Clinical Data Effectiveness",Clover Health,77000,100000,USA,https://jobicy.com/jobs/150923-data-analyst-clinical-data-effectiveness
jobicy,Product / PM,0,"Senior Product Manager, Learner Platform Experience",CodePath,200000,232000,USA,https://jobicy.com/jobs/152297-senior-product-manager-learner-platform-experience
jobicy,Unknown,0,Senior CRM Manager,Envato,,,"Australia,  New Zealand",https://jobicy.com/jobs/151419-senior-crm-manager
jobicy,Sales / SDR,0,Account Manager | Mid-Market,Ramp,169000,230000,USA,https://jobicy.com/jobs/151434-account-manager-mid-market
jobicy,Support,0,Enterprise Customer Success Manager,SOCi,105000,150000,"Canada,  USA",https://jobicy.com/jobs/151432-enterprise-customer-success-manager-5
jobicy,Unknown,0,BS/MD Admissions Consultant,Inspira Education,,,"Canada,  USA",https://jobicy.com/jobs/151418-bs-md-admissions-consultant
jobicy,Engineering,0,Microservices Engineer,Canonical,,,Anywhere,https://jobicy.com/jobs/149558-microservices-engineer
jobicy,Engineering,0,Senior Site Reliability Engineer,Canonical,,,Anywhere,https://jobicy.com/jobs/149557-senior-site-reliability-engineer-5
